old names;ror_name;ror_id;simplified name
Dimitrie Cantemir University of Tirgu-Mures;Dimitrie Cantemir University;05ykvq143;dimitriecantemiruniversity
University of Castilla-La Mancha;University of Castilla-La Mancha;05r78ng12;universityofcastillalamancha
International Monetary Fund (IMF);International Monetary Fund;05m4rmw09;internationalmonetaryfund
Walden University;Walden University;02qp2hh41;waldenuniversity
Queen's University;Queen's University;02y72wh86;queensuniversity
University of Michigan, Stephen M. Ross School of Business;University of Michigan;00jmfr291;universityofmichigan
Indiana University Robert H. McKinney School of Law;Indiana University;01kg8sb98;indianauniversity
Cornell University - Law School;Cornell University;05bnh6r87;cornelluniversity
UC Law, San Francisco;University of California, San Francisco;043mz5j54;universityofcaliforniasanfrancisco
Drake University - Law School;Drake University;001skmk61;drakeuniversity
University of Las Palmas de Gran Canaria;Universidad de Las Palmas de Gran Canaria;01teme464;universidaddelaspalmasdegrancanaria
Universidad Externado de Colombia;Universidad Externado de Colombia;02xtwpk10;universidadexternadodecolombia
Università di Bologna;University of Bologna;01111rn36;universityofbologna
University of Colorado Law School;University of Colorado Health;0107w4315;universityofcoloradohealth
Tai Solarin University of Education;Tai Solarin University of Education;05adhha17;taisolarinuniversityofeducation
Rutgers, The State University of New Jersey - Rutgers Law School;Rutgers, The State University of New Jersey;05vt9qd57;rutgersthestateuniversityofnewjersey
University of Technology Sydney, Faculty of Law;University of Technology Sydney;03f0f6041;universityoftechnologysydney
Federal National Mortgage Association (Fannie Mae);Federal Reserve;05fk5tr28;federalreserve
Babes-Bolyai University - Faculty of Political, Administrative and Communication Sciences;Babeș-Bolyai University;02rmd1t30;babebolyaiuniversity
Universite du Quebec a Montreal;Université du Québec à Montréal;002rjbv21;universitduqubecmontral
Catholic University of Milan;Università Cattolica del Sacro Cuore;03h7r5v07;universitcattolicadelsacrocuore
Russian Academy of National Economy and Public Administration under the President of the Russian Federation (RANEPA) - Chelyabinsk Branch;Russian Academy of Arts;05960ca78;russianacademyofarts
Russian Academy of National Economy and Public Administration under the President of the Russian Federation (RANEPA) - Stolypin Volga Region Institute of Administration;Russian Academy of Arts;05960ca78;russianacademyofarts
University of Massachusetts Amherst;University of Massachusetts Amherst;0072zz521;universityofmassachusettsamherst
Bentley University - Graduate School, Graduate Tax Program;Bentley University;01px48m89;bentleyuniversity
Babcock University;Babcock University;00k0k7y87;babcockuniversity
ESCORIAL-MARÍA CRISTINA ROYAL UNIVERSITY;Royal Ottawa Mental Health Centre;056vnsb08;royalottawamentalhealthcentre
University of Verona - Department of Law;University of Verona;039bp8j42;universityofverona
Seoul National University;Seoul National University;04h9pn542;seoulnationaluniversity
University of Cambridge - Faculty of Law;University of Cambridge;013meh722;universityofcambridge
Om Sai Ram Centre for Financial Management Research;IFMR Graduate School of Business;04dtrtr74;ifmrgraduateschoolofbusiness
World Bank - Enterprise Analysis Unit;World Bank;00ae7jd04;worldbank
World Bank - Development Research Group (DECRG);World Bank;00ae7jd04;worldbank
Bank of Italy;Bank of Italy;03v2nbx43;bankofitaly
Kopargaon Taluka Education Society;The Anam Society for the Study Of Education;024ay6y96;theanamsocietyforthestudyofeducation
SUNY Buffalo Law School;University at Buffalo, State University of New York;01y64my43;universityatbuffalostateuniversityofnewyork
Moscow State Institute of International Relations (MGIMO);Moscow State Institute of International Relations;04zn7jb34;moscowstateinstituteofinternationalrelations
University of Ibadan - Faculty of Law;University of Ibadan;03wx2rr30;universityofibadan
University of Limpopo;University of Limpopo;017p87168;universityoflimpopo
University of Lincoln (UK) - School of Social Sciences;University of Lincoln;03yeq9x20;universityoflincoln
Eskisehir Osmangazi University;Eskişehir Osmangazi University;01dzjez04;eskiehirosmangaziuniversity
Russian Academy of National Economy and Public Administration under the President of the Russian Federation (RANEPA) - Nizhny Novgorod Institute of Management;Russian Academy of Arts;05960ca78;russianacademyofarts
Russian Academy of National Economy and Public Administration under the President of the Russian Federation (RANEPA);Russian Academy of Arts;05960ca78;russianacademyofarts
Srinivas University;Srinivas University;019qzkn95;srinivasuniversity
Martin Luther University of Halle-Wittenberg;Luther University;015dhy417;lutheruniversity
Faculty of Law SRM University Delhi-NCR Sonepat;SRM University;037skf023;srmuniversity
Universidad Nacional Mayor de San Marcos;National University of San Marcos;006vs7897;nationaluniversityofsanmarcos
International Council for Family Business;International Olive Council;0006wrh30;internationalolivecouncil
University Institute of Lisbon (ISCTE-IUL);Iscte – Instituto Universitário de Lisboa;014837179;iscteinstitutouniversitriodelisboa
Ca Foscari University of Venice - Dipartimento di Economia;Ca' Foscari University of Venice;04yzxz566;cafoscariuniversityofvenice
Russian Academy of National Economy and Public Administration under the President of the Russian Federation (RANEPA) - Institute of Applied Economic Research;Institute of Applied Economic Research;02d3hy418;instituteofappliedeconomicresearch
CPB Netherlands Bureau of Economic Policy Analysis;CPB Netherlands Bureau for Economic Policy Analysis;04rjxzd30;cpbnetherlandsbureauforeconomicpolicyanalysis
World Bank;World Bank;00ae7jd04;worldbank
Western Sydney University, School of Law;Western Sydney University;03t52dk35;westernsydneyuniversity
University of Antwerp Law and Development Research Group and Institute of Policy Development;University of Antwerp;008x57b05;universityofantwerp
Institute of Technology and Life Sciences,  Warsaw Campus;Institute of Technology and Life Sciences;01q2fk491;instituteoftechnologylifesciences
affiliation not provided to SSRN , Russian Academy of National Economy and Public Administration under the President of the Russian Federation (RANEPA) - Institute of Applied Economic Research;Institute of Applied Economic Research;02d3hy418;instituteofappliedeconomicresearch
Institute of Agricultural Economics (IEA) Belgrade;Institute of Agricultural Economics;00xh3h995;instituteofagriculturaleconomics
Sorbonne University;Sorbonne Université;02en5vm52;sorbonneuniversit
Ministry of Industry and Technology;Ministry of Industry and Trade;03j4eb467;ministryofindustrytrade
National Research Institute (PIB) - Institute of Agricultural and Food Economics - National Research Institute (IAFE-NRI);Institute of Agricultural and Food Economics;00wrp4434;instituteofagriculturalfoodeconomics
Michigan State University - College of Law;Michigan State University;05hs6h993;michiganstateuniversity
International Food Policy Research Institute (IFPRI);International Food Policy Research Institute;03pxz9p87;internationalfoodpolicyresearchinstitute
Institute of Development Studies (IDS), Brighton;Institute of Development Studies;0288jxv49;instituteofdevelopmentstudies
Solapur University, Shri Sant Damaji College;Solapur University;026tktq31;solapuruniversity
University of California, Santa Cruz, Students;University of California, Santa Cruz;03s65by71;universityofcaliforniasantacruz
Nanjing University of Finance and Economics;Nanjing University of Finance and Economics;031y8am81;nanjinguniversityoffinanceeconomics
A-Joshi Strategy Consultants (OPC) Pvt Ltd;PRé Consultants;02vfhfv39;prconsultants
Institute of World Economics;Institute of World Economics;05e7k4575;instituteofworldeconomics
Academy of Economic Studies of Moldova - Faculty of Finance;Academy of Economic Studies of Moldova;04d26v797;academyofeconomicstudiesofmoldova
Ohio Northern University, Pettit College of Law, Students;Ohio Northern University;052963a64;ohionorthernuniversity
A member of the CGIAR Consortium - International Food Policy Research Institute (IFPRI);International Food Policy Research Institute;03pxz9p87;internationalfoodpolicyresearchinstitute
Ethiopian Development Research Institute (EDRI);Ethiopian Development Research Institute;00anh1e03;ethiopiandevelopmentresearchinstitute
University of Zambia (UNZA);University of Zambia;03gh19d69;universityofzambia
Groupe d'Economie Mondiale at Sciences Po (GEM Paris);Institut d'Etudes Politiques de Paris;05fe7ax82;institutdetudespolitiquesdeparis
The Overseas Economic Cooperation Fund, Japan (OECF);The Conservation Fund;04mxfzz97;theconservationfund
Department of Industrial & Management Engineering;Department of Finance;042wrtw77;departmentoffinance
Tilburg Law School;Bucerius Law School;05c11k793;buceriuslawschool
University of North America;AO North America;00sax7541;aonorthamerica
Institute for Oil and Gas Studies, University of Cape Coast, Ghana and Kwame Nkrumah University of Science and Technology,;Kwame Nkrumah University of Science and Technology;00cb23x68;kwamenkrumahuniversityofsciencetechnology
Russian Presidential Academy of National Economy and Public Administration;Academy of Public Administration;054fdbt51;academyofpublicadministration
St.Mary's College, Tuticorin;Rust College;02t6r9161;rustcollege
Geographical Institute 'Jovan Cvijić' SASA;Geographical Institute;02j8vpa07;geographicalinstitute
Maharshi Dayanand University;Maharshi Dayanand University;03kaab451;maharshidayananduniversity
Independent, Pondicherry University;Pondicherry University;01a3mef16;pondicherryuniversity
World Trade Institute;Fair Trade Institute;00pkfs166;fairtradeinstitute
Graduate School of Economics, Kyoto University;Kyoto University;02kpeqv85;kyotouniversity
Ohio State University (OSU) - Department of Agricultural, Environmental & Development Economics;The Ohio State University;00rs6vg23;theohiostateuniversity
Institute for Studies in Industrial Development;The Institute For Zen Studies;009t4th85;theinstituteforzenstudies
University of Oradea;University of Oradea;00wzhv093;universityoforadea
Texas Tech University - Free Market Institute;Texas Tech University;0405mnx93;texastechuniversity
George Mason University - Antonin Scalia Law School;George Mason University;02jqj7156;georgemasonuniversity
Department of Mathematics, Universitas Halu Oleo;Universitas Halu Oleo;02j4mf075;universitashaluoleo
California State University, Dominguez Hills;California State University, Dominguez Hills;04pyvbw03;californiastateuniversitydominguezhills
BI Norwegian Business School;BI Norwegian Business School;03ez40v33;binorwegianbusinessschool
The University of Nottingham;University of Nottingham;01ee9ar58;universityofnottingham
Royal Melbourne Institute of Technology (RMIT University);RMIT University;04ttjf776;rmituniversity
Cornell University;Cornell University;05bnh6r87;cornelluniversity
Massachusetts Institute of Technology (MIT) - Department of Political Science;Massachusetts Institute of Technology;042nb2s44;massachusettsinstituteoftechnology
Tulane University - Law School;Tulane University;04vmvtb21;tulaneuniversity
University of Cincinnati - Department of Accounting;University of Cincinnati;01e3m7079;universityofcincinnati
George Mason University - Department of Economics;George Mason University;02jqj7156;georgemasonuniversity
Lexpat Global Services;Scientific Certification Services, Inc. (United States);055g2p018;scientificcertificationservicesincunitedstates
Stanford University, Department of Political Science;Stanford University;00f54p054;stanforduniversity
Georgetown University Law Center;Georgetown University;05vzafd60;georgetownuniversity
Stanford University;Stanford University;00f54p054;stanforduniversity
Trinity University - Department of Economics;Trinity University;00t8gz605;trinityuniversity
Federal Reserve Banks - Federal Reserve Bank of New York;Federal Reserve Bank of New York;05hwvzg47;federalreservebankofnewyork
University of Western Ontario - Faculty of Law;Western University;02grkyz14;westernuniversity
Memorial University of Newfoundland;Memorial University of Newfoundland;04haebc03;memorialuniversityofnewfoundland
University of Wisconsin-Madison - Department of Sociology;University of Wisconsin–Madison;01y2jtd41;universityofwisconsinmadison
Willamette University College of Law;Willamette University;04g9e0f44;willametteuniversity
Mercatus Center at George Mason University;George Mason University;02jqj7156;georgemasonuniversity
Reichman University - Interdisciplinary Center (IDC) Herzliyah - Harry Radziner School of Law;Reichman University;01px5cv07;reichmanuniversity
Centre for Health Policy/MRC Health Policy Research Group, School of Public Health, Faculty of Health Sciences, University of the Witwatersrand, Johannesburg, South Africa;University of the Witwatersrand;03rp50x72;universityofthewitwatersrand
University of Washington - The Information School;University of Washington;00cvxb145;universityofwashington
Capital Fund Management;Global Health Innovative Technology Fund;02yfqyv95;globalhealthinnovativetechnologyfund
R Street Institute;3C Institute;03ywwzv91;3cinstitute
Penn State Law;Pennsylvania State University;04p491231;pennsylvaniastateuniversity
Universidad de los Andes, Colombia - Department of Economics;University of the Andes;02h1b1x27;universityoftheandes
Harvard University - Berkman Klein Center for Internet & Society;Harvard University;03vek6s52;harvarduniversity
University of Siegen;University of Siegen;02azyry73;universityofsiegen
MBS School of Business;Paris School of Business;01y414495;parisschoolofbusiness
University of Southern California - Sol Price School of Public Policy;University of Southern California;03taz7m60;universityofsoutherncalifornia
Tufts University;Tufts University;05wvpxv85;tuftsuniversity
University of Florida, Texas A&M University - Private Enterprise Research Center;Texas A&M University;01f5ytq51;texasamuniversity
Arizona State University (ASU) - Sandra Day O'Connor College of Law;Arizona State University;03efmqc40;arizonastateuniversity
University of Pisa - Department of Law;University of Pisa;03ad39j10;universityofpisa
Institute for Humane Studies;Institute for Humane Studies;00bhn1w49;instituteforhumanestudies
University of Virginia School of Law;University of Virginia;0153tk833;universityofvirginia
The University of Sydney - Discipline of Finance;The University of Sydney;0384j8v12;theuniversityofsydney
Osler Hoskin & Harcourt LLP (New York);Reproductive Medicine Associates of New York;03xswyc88;reproductivemedicineassociatesofnewyork
Southwestern Law School, Students;Southwestern Law School;011wpwt21;southwesternlawschool
Humboldt University of Berlin - Faculty of Law;Freie Universität Berlin;046ak2485;freieuniversittberlin
School of Accountancy, J. Mack Robinson College of Business, Georgia State University;Georgia State University;03qt6ba18;georgiastateuniversity
Campbell University - Norman Adrian Wiggins School of Law;Campbell University;00dv9q566;campbelluniversity
Boston College - Law School;Boston College;02n2fzt79;bostoncollege
Hakim Nezami institution of higher education at Quchan-Iran;Rahman Institute of Higher Education;01k1m6p08;rahmaninstituteofhighereducation
Columbia University, Department of Industrial Engineering and Operations Research (IEOR), Students;Columbia University;00hj8s172;columbiauniversity
Hitotsubashi University - Graduate School of International Corporate Strategy;Hitotsubashi University;04jqj7p05;hitotsubashiuniversity
The American University in Cairo;American University in Cairo;0176yqn58;americanuniversityincairo
Stanford Graduate School of Business;One School of Business;05rgttv76;oneschoolofbusiness
Nigerian Defence Academy;Nigerian Defence Academy;02nt7a109;nigeriandefenceacademy
Deutsche Bundesbank;Deutsche Bundesbank;03jvfq589;deutschebundesbank
Lancaster University - Lancaster University Management School;Lancaster University;04f2nsd36;lancasteruniversity
American Accounting Association;American Accounting Association;0024sf220;americanaccountingassociation
Lehman College;Lehman College;03m908832;lehmancollege
Duke University;Duke University;00py81415;dukeuniversity
SDA Bocconi, Bocconi University - Department of Accounting;Bocconi University;05crjpb27;bocconiuniversity
Amsterdam Business School;Institut des Hautes Études de Management;04cat5h68;institutdeshautestudesdemanagement
University of Sri Jayewardenepura;University of Sri Jayewardenepura;02rm76t37;universityofsrijayewardenepura
University of Texas at Austin;The University of Texas at Austin;00hj54h04;theuniversityoftexasataustin
UECE (Research Unit on Complexity and Economics) - REM (Research in Economics and Mathematics). Universidade de Lisboa  - ISEG (Lisbon School of Economics and Management);Zagreb School of Economics and Management;04bqkh239;zagrebschoolofeconomicsmanagement
Universiti Utara Malaysia;Northern University of Malaysia;01ss10648;northernuniversityofmalaysia
Lead City University Ibadan Nigeria;Lead City University;043z5qa52;leadcityuniversity
Eastern University Sri Lanka;Eastern University;05e2ncr14;easternuniversity
New York University School of Law;New York University;0190ak572;newyorkuniversity
Tilburg University - Tilburg University School of Economics and Management;Tilburg University;04b8v1s79;tilburguniversity
Université Paris Nanterre and EconomiX (UMR7235);Université Paris Nanterre;013bkhk48;universitparisnanterre
Griffith University - Griffith Business School;Griffith University;02sc3r913;griffithuniversity
University of Arizona, Department of Accounting;University of Arizona;03m2x1q45;universityofarizona
ESCP Business School, Department of Financial Reporting & Audit;ESCP Business School;040hhjv66;escpbusinessschool
Ekiti State University;Ekiti State University;02c4zkr79;ekitistateuniversity
UNC Chapel Hill;University of North Carolina at Chapel Hill;0130frc33;universityofnorthcarolinaatchapelhill
University of Piraeus, Department of Banking and Financial Management;University of Piraeus;02qs84g94;universityofpiraeus
Korea Institute for National Unification;Korea Institute for National Unification;03ta21y66;koreainstitutefornationalunification
Fayetteville State University - Department of Accounting;Fayetteville State University;03rj92e31;fayettevillestateuniversity
University of North Carolina (UNC) at Chapel Hill - Accounting Area;University of South Carolina;02b6qw903;universityofsouthcarolina
Boston College;Boston College;02n2fzt79;bostoncollege
Office of Financial Research, U.S. Department of the Treasury;United States Department of the Treasury;028t43p77;unitedstatesdepartmentofthetreasury
Sookmyung Women's University;Sookmyung Women's University;00vvvt117;sookmyungwomensuniversity
University of Dhaka - Department of Accounting & Information Systems;University of Dhaka;05wv2vq37;universityofdhaka
University of Freiburg - Institute of Public Finance;Institute of Public Finance;0229a6d71;instituteofpublicfinance
Business School, University of Aberdeen , Business School, University of Aberdeen;University of Aberdeen;016476m91;universityofaberdeen
Barry University;Barry University;04r1hh402;barryuniversity
University of Pittsburgh;University of Pittsburgh;01an3r305;universityofpittsburgh
Embry-Riddle Aeronautical University;Embry–Riddle Aeronautical University;010jskt71;embryriddleaeronauticaluniversity
Harvard University - Department of Economics;Harvard University;03vek6s52;harvarduniversity
University of California, Berkeley - Haas School of Business;University of California, Berkeley;01an7q238;universityofcaliforniaberkeley
Audencia Business School;Audencia Business School;000axn811;audenciabusinessschool
Quest International University Perak - Faculty of Integrative Sciences and Technology;Quest International University Perak;04w8dt298;questinternationaluniversityperak
Dep't of Law, Democritus University of Thrace;Democritus University of Thrace;03bfqnx40;democritusuniversityofthrace
Leuphana University of Lueneburg;Leuphana University of Lüneburg;02w2y2t16;leuphanauniversityoflneburg
University of North Texas - Department of Accounting;University of North Texas;00v97ad02;universityofnorthtexas
Institute of Accountancy Arusha;Institute of Accountancy Arusha;009nnap37;instituteofaccountancyarusha
Catholic University of America (CUA);Catholic University of America;047yk3s18;catholicuniversityofamerica
Universidad del Rosario;Universidad del Rosario;0108mwc04;universidaddelrosario
Harvard Business School - Finance Unit;EADA Business School;033qfx261;eadabusinessschool
University of Ljubljana - Faculty of Administration;University of Ljubljana;05njb9z20;universityofljubljana
Goizueta Business School;EAE Business School;03qzktr95;eaebusinessschool
Kennesaw State University - Michael J. Coles College of Business;Kennesaw State University;00jeqjx33;kennesawstateuniversity
St Xavier's College;St Xavier’s College;039543c28;stxavierscollege
University of Delaware - Economics;University of Delaware;01sbq1a82;universityofdelaware
Sebelas Maret University;Sebelas Maret University;021hq5q33;sebelasmaretuniversity
